,movie,production_budget,worldwide_gross,studio,foreign_gross,year,popularity,vote_average,vote_count,runtime_minutes,genres
851,The Boss,"$29,000,000","$78,652,207",Uni.,15600000.0,2016,11.442,5.8,822,99.0,Comedy
852,Logan Lucky,"$29,000,000","$44,264,271",BST,20700000.0,2017,15.743,6.7,1627,118.0,"Comedy,Crime,Drama"
853,Florence Foster Jenkins,"$29,000,000","$56,000,339",Par.,21500000.0,2016,8.453,6.7,849,111.0,"Biography,Comedy,Drama"
854,Straight Outta Compton,"$28,000,000","$202,182,981",Uni.,40400000.0,2015,11.731,7.7,2048,147.0,"Biography,Drama,History"
856,Girls Trip,"$28,000,000","$140,886,353",Uni.,25400000.0,2017,8.589,6.8,968,122.0,"Comedy,Drama"
857,A Bad Moms Christmas,"$28,000,000","$127,710,550",STX,58400000.0,2017,16.604,6.3,1044,104.0,"Adventure,Comedy"
859,Safe Haven,"$28,000,000","$94,050,951",Rela.,26200000.0,2013,9.095,7.1,1433,115.0,"Drama,Romance,Thriller"
861,The Big Short,"$28,000,000","$133,162,752",Par.,63200000.0,2015,14.327,7.3,4657,130.0,"Biography,Comedy,Drama"
862,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$28,000,000","$101,379,287",BV,34400000.0,2014,6.783,6.2,817,81.0,"Comedy,Family"
863,Last Vegas,"$28,000,000","$112,914,167",CBS,70500000.0,2013,6.533,6.4,1211,105.0,"Comedy,Drama"
864,Tag,"$28,000,000","$77,026,186",WB (NL),23400000.0,2018,1.4,4.0,1,91.0,Drama
874,Kick-Ass,"$28,000,000","$97,531,134",LGF,48100000.0,2010,13.08,7.1,7540,117.0,"Action,Comedy"
875,30 Minutes or Less,"$28,000,000","$40,966,716",Sony,3500000.0,2011,11.315,5.6,825,83.0,"Action,Comedy,Crime"
876,3 Days to Kill,"$28,000,000","$38,959,900",Rela.,21900000.0,2014,11.011,6.1,1279,117.0,"Action,Drama,Thriller"
877,Kick-Ass 2,"$28,000,000","$63,129,909",Uni.,32000000.0,2013,14.793,6.4,3785,103.0,"Action,Comedy,Crime"
878,A Walk Among the Tombstones,"$28,000,000","$62,108,587",Uni.,26900000.0,2014,19.373,6.3,1685,114.0,"Action,Crime,Drama"
879,The Spy Next Door,"$28,000,000","$46,752,858",LGF,20900000.0,2010,10.746,5.7,650,94.0,"Action,Comedy,Family"
880,Brick Mansions,"$28,000,000","$73,421,224",Rela.,48500000.0,2014,9.194,5.9,909,90.0,"Action,Crime"
881,American Ultra,"$28,000,000","$30,295,028",LGF,12700000.0,2015,9.97,6.0,1756,96.0,"Action,Comedy,Sci-Fi"
882,Pride and Prejudice and Zombies,"$28,000,000","$16,638,300",SGem,5500000.0,2016,9.086,5.7,1195,108.0,"Action,Comedy,Horror"
883,Joyful Noise,"$27,500,000","$31,157,914",WB,226000.0,2012,6.787,6.4,70,118.0,"Comedy,Drama,Music"
884,Anonymous,"$27,500,000","$15,815,509",Sony,10900000.0,2011,8.114,6.4,434,130.0,"Drama,Thriller"
887,Limitless,"$27,000,000","$155,564,919",Rela.,82600000.0,2011,19.453,7.1,6295,105.0,"Mystery,Sci-Fi,Thriller"
890,Money Monster,"$27,000,000","$93,466,095",TriS,52300000.0,2016,11.134,6.4,1859,98.0,"Crime,Drama,Thriller"
891,Lawless,"$26,000,000","$54,393,687",Wein.,16300000.0,2012,12.147,7.0,1660,116.0,"Crime,Drama"
893,The Best of Me,"$26,000,000","$41,059,418",Rela.,9200000.0,2014,8.622,7.3,1512,118.0,"Drama,Romance"
894,The Raven,"$26,000,000","$30,601,801",Rela.,13600000.0,2012,0.6,5.9,5,110.0,"Crime,Mystery,Thriller"
896,The Fifth Estate,"$26,000,000","$6,154,172",BV,5300000.0,2013,6.611,5.9,549,128.0,"Biography,Drama,Thriller"
897,Blood Ties,"$26,000,000","$2,923,959",ALP,74954901.2673389,2011,12.003,6.1,268,127.0,"Action,Crime,Drama"
900,The Help,"$25,000,000","$213,120,004",BV,46900000.0,2011,12.598,8.1,3944,146.0,Drama
901,Hidden Figures,"$25,000,000","$231,771,716",Fox,66300000.0,2016,14.751,8.0,4710,127.0,"Biography,Drama,History"
903,Ride Along,"$25,000,000","$153,733,800",Uni.,19500000.0,2014,10.831,6.2,1277,99.0,"Action,Comedy,Crime"
905,Dear John,"$25,000,000","$142,033,509",SGem,35000000.0,2010,12.048,6.8,2676,108.0,"Drama,Romance,War"
906,Parental Guidance,"$25,000,000","$120,832,383",Fox,42500000.0,2012,10.124,5.8,276,105.0,"Comedy,Family"
907,No Strings Attached,"$25,000,000","$149,228,078",Par.,78600000.0,2011,14.203,6.2,2612,108.0,"Comedy,Romance"
910,Contraband,"$25,000,000","$98,406,855",Uni.,29700000.0,2012,12.357,6.2,1114,109.0,"Action,Crime,Drama"
911,The Lucky One,"$25,000,000","$96,633,833",WB,38900000.0,2012,13.14,6.9,2012,101.0,"Drama,Romance"
912,The Grey,"$25,000,000","$81,249,176",ORF,25700000.0,2012,12.942,6.5,2280,117.0,"Action,Adventure,Drama"
914,The Giver,"$25,000,000","$66,540,205",Wein.,21900000.0,2014,8.687,6.5,3075,97.0,"Drama,Romance,Sci-Fi"
915,The Night Before,"$25,000,000","$52,427,346",Sony,9300000.0,2015,9.014,6.1,956,101.0,"Adventure,Comedy,Fantasy"
921,August: Osage County,"$25,000,000","$50,738,810",Wein.,36500000.0,2013,9.586,6.9,843,121.0,"Comedy,Drama"
923,Million Dollar Arm,"$25,000,000","$39,217,912",BV,2800000.0,2014,7.771,6.8,353,124.0,"Biography,Drama,Sport"
924,Peppermint,"$25,000,000","$51,800,758",STX,18400000.0,2018,32.476,6.5,716,101.0,"Action,Crime,Drama"
925,The Gambler,"$25,000,000","$38,718,031",Par.,5600000.0,2014,8.807,5.8,783,105.0,Drama
929,Fist Fight,"$25,000,000","$40,286,416",WB (NL),8900000.0,2017,9.808,6.0,708,91.0,Comedy
930,The Sitter,"$25,000,000","$38,749,404",Fox,4500000.0,2011,11.571,5.4,472,81.0,Comedy
931,Draft Day,"$25,000,000","$29,847,480",LG/S,620000.0,2014,10.581,6.6,460,110.0,"Drama,Sport"
932,Rings,"$25,000,000","$82,917,283",Par.,55300000.0,2017,13.53,4.9,1785,102.0,"Drama,Horror,Mystery"
933,Don't Be Afraid of the Dark,"$25,000,000","$39,126,427",FD,12900000.0,2011,8.405,5.5,550,99.0,"Fantasy,Horror,Thriller"
934,The Losers,"$25,000,000","$29,863,840",WB,5800000.0,2010,10.202,6.2,844,97.0,"Action,Adventure,Crime"
936,The Eagle,"$25,000,000","$38,993,548",Focus,7600000.0,2011,8.443,6.1,694,114.0,"Action,Adventure,Drama"
938,Shark Night 3D,"$25,000,000","$18,877,153",Rela.,21300000.0,2011,7.879,5.0,245,90.0,"Horror,Thriller"
939,Father Figures,"$25,000,000","$21,038,441",WB,8100000.0,2017,12.45,5.8,277,113.0,"Adventure,Comedy,Drama"
943,The Counselor,"$25,000,000","$71,009,334",Fox,54000000.0,2013,10.55,5.1,1072,117.0,"Crime,Drama,Thriller"
944,Mary Queen of Scots,"$25,000,000","$46,734,733",Focus,29900000.0,2018,16.115,6.6,592,119.0,"Biography,Drama,History"
946,Legend,"$25,000,000","$23,506,237",Uni.,41100000.0,2015,10.542,6.2,509,134.0,Horror
971,My Soul to Take,"$25,000,000","$16,727,470",Uni.,6200000.0,2010,9.808,5.4,247,107.0,"Horror,Mystery,Thriller"
972,Warrior,"$25,000,000","$24,215,385",LGF,9400000.0,2011,15.478,7.8,2189,140.0,"Drama,Sport"
974,Battle of the Sexes,"$25,000,000","$18,445,379",FoxS,74954901.2673389,2017,11.988,6.9,1045,121.0,"Biography,Comedy,Drama"
976,The 33,"$25,000,000","$28,400,715",WB,12700000.0,2015,9.993,6.2,565,127.0,"Biography,Drama,History"
977,The Conspirator,"$25,000,000","$15,907,411",RAtt.,3900000.0,2011,6.493,6.5,226,122.0,"Crime,Drama,History"
979,Beautiful Boy,"$25,000,000","$13,031,424",Anch.,74954901.2673389,2011,5.872,6.0,47,120.0,"Biography,Drama"
983,Tulip Fever,"$25,000,000","$6,792,768",Wein.,5900000.0,2017,9.89,6.4,307,105.0,"Drama,History,Romance"
984,Jane Got a Gun,"$25,000,000","$3,771,345",Wein.,74954901.2673389,2016,8.825,5.5,439,98.0,"Action,Drama,Western"
985,On the Road,"$25,000,000","$9,313,302",IFC,8000000.0,2012,8.919,5.6,518,124.0,"Adventure,Drama,Romance"
991,Think Like a Man Too,"$24,000,000","$70,027,933",SGem,5000000.0,2014,8.25,6.3,319,106.0,"Comedy,Romance"
992,Fences,"$24,000,000","$64,282,881",Par.,6700000.0,2016,12.753,6.8,1465,139.0,Drama
996,Piranha 3D,"$24,000,000","$83,660,160",W/Dim.,58200000.0,2010,11.302,5.3,1029,88.0,"Comedy,Horror"
997,Faster,"$24,000,000","$35,792,945",CBS,12400000.0,2010,14.172,6.2,895,98.0,"Action,Crime,Drama"
998,I Don't Know How She Does It,"$24,000,000","$24,474,463",Wein.,20900000.0,2011,8.271,5.2,231,89.0,"Comedy,Romance"
999,Green Book,"$23,000,000","$322,034,439",Uni.,234700000.0,2018,36.284,8.3,3499,130.0,"Biography,Comedy,Drama"
1000,The Wedding Ringer,"$23,000,000","$80,171,596",SGem,15300000.0,2015,15.876,6.5,961,101.0,Comedy
1001,The Ides of March,"$23,000,000","$77,735,925",Sony,35000000.0,2011,10.127,6.7,1405,101.0,"Drama,Thriller"
1002,The Hate U Give,"$23,000,000","$35,067,665",Fox,5200000.0,2018,19.135,8.2,636,133.0,"Crime,Drama"
1003,Haywire,"$23,000,000","$36,374,700",Rela.,14400000.0,2012,10.015,5.6,747,93.0,"Action,Drama,Thriller"
1004,Eddie the Eagle,"$23,000,000","$45,060,480",Fox,30400000.0,2016,11.483,7.2,1190,106.0,"Biography,Comedy,Drama"
1005,Nocturnal Animals,"$22,500,000","$32,398,681",Focus,19600000.0,2016,16.19,7.4,4192,116.0,"Drama,Thriller"
1007,The Water Diviner,"$22,500,000","$31,054,727",WB,34000000.0,2015,11.479,6.8,682,111.0,"Drama,History,War"
1008,Son of God,"$22,000,000","$70,949,793",Fox,8100000.0,2014,8.289,6.4,123,80.0,Documentary
1010,The Hundred-Foot Journey,"$22,000,000","$94,270,488",BV,34600000.0,2014,8.26,7.3,785,122.0,"Comedy,Drama"
1011,Diary of a Wimpy Kid: Dog Days,"$22,000,000","$77,229,695",Fox,28100000.0,2012,11.36,6.2,440,94.0,"Comedy,Family"
1012,Delivery Man,"$22,000,000","$70,536,870",BV,19300000.0,2013,7.962,6.2,858,105.0,"Comedy,Drama"
1013,"Hail, Caesar!","$22,000,000","$64,160,680",Uni.,33100000.0,2016,12.312,5.9,2328,106.0,"Comedy,Drama,Music"
1014,Diary of a Wimpy Kid: The Long Haul,"$22,000,000","$35,609,577",Fox,19400000.0,2017,10.839,5.6,193,91.0,"Comedy,Family"
1015,Homefront,"$22,000,000","$51,695,362",ORF,22900000.0,2013,14.422,6.5,1410,100.0,"Action,Thriller"
1016,The Transporter Refueled,"$22,000,000","$69,698,495",EC,56600000.0,2015,13.428,5.4,836,96.0,"Action,Adventure,Crime"
1017,"Roman J. Israel, Esq.","$22,000,000","$12,967,012",Sony,1100000.0,2017,12.688,6.2,499,122.0,"Crime,Drama,Thriller"
1019,Out of the Furnace,"$22,000,000","$15,434,375",Rela.,4300000.0,2013,9.139,6.6,1077,116.0,"Crime,Drama,Thriller"
1020,Just Getting Started,"$22,000,000","$6,756,412",BG,1600000.0,2017,8.459,4.9,94,91.0,"Action,Comedy"
1022,Stone,"$22,000,000","$4,065,020",Over.,7700000.0,2010,8.401,5.2,334,105.0,"Drama,Thriller"
1024,To Rome with Love,"$21,500,000","$74,326,015",SPC,56600000.0,2012,9.563,5.7,1097,112.0,"Comedy,Music,Romance"
1025,Silver Linings Playbook,"$21,000,000","$236,412,453",Wein.,104300000.0,2012,15.351,7.1,7636,122.0,"Comedy,Drama,Romance"
1026,Blockers,"$21,000,000","$94,045,328",Uni.,33700000.0,2018,21.841,6.1,969,102.0,Comedy
1027,For Colored Girls,"$21,000,000","$38,017,873",LGF,17300.0,2010,2.858,6.8,33,133.0,Drama
1028,The Beaver,"$21,000,000","$5,046,038",Sum.,6300000.0,2011,7.357,6.3,464,91.0,Drama
1029,La La Land,"$20,000,000","$426,351,163",LG/S,295000000.0,2016,16.275,7.9,10028,128.0,"Comedy,Drama,Music"
1031,The Conjuring,"$20,000,000","$318,000,141",WB (NL),182100000.0,2013,18.886,7.5,5912,112.0,"Horror,Mystery,Thriller"
1032,Wonder,"$20,000,000","$304,604,712",LGF,173500000.0,2017,20.101,8.2,3959,113.0,"Drama,Family"
1034,Bad Moms,"$20,000,000","$180,998,716",STX,70700000.0,2016,14.332,6.5,2600,100.0,Comedy
1035,Tammy,"$20,000,000","$96,407,655",WB (NL),16000000.0,2014,10.979,5.2,735,97.0,"Comedy,Romance"
1036,The Descendants,"$20,000,000","$175,507,800",FoxS,94700000.0,2011,10.444,6.8,1522,115.0,"Comedy,Drama"
1038,The Last Song,"$20,000,000","$92,678,948",BV,26100000.0,2010,9.237,7.2,2199,107.0,"Drama,Music,Romance"
1039,12 Years a Slave,"$20,000,000","$181,025,343",FoxS,131100000.0,2013,16.493,7.9,6631,134.0,"Biography,Drama,History"
1040,Me Before You,"$20,000,000","$208,265,198",WB (NL),152100000.0,2016,16.917,7.7,5939,106.0,"Drama,Romance"
1041,Barbershop: The Next Cut,"$20,000,000","$54,404,202",WB (NL),1000000.0,2016,12.846,6.0,248,111.0,"Comedy,Drama"
1042,A Simple Favor,"$20,000,000","$97,628,717",LGF,44100000.0,2018,21.121,6.6,1756,117.0,"Comedy,Crime,Drama"
1043,Selma,"$20,000,000","$66,776,576",Par.,14700000.0,2014,9.541,7.5,1354,128.0,"Biography,Drama,History"
1044,Spotlight,"$20,000,000","$92,088,460",ORF,53200000.0,2015,16.354,7.8,4935,129.0,"Crime,Drama"
1050,The Star,"$20,000,000","$62,758,010",Sony,22000000.0,2017,14.53,5.4,233,86.0,"Adventure,Animation,Comedy"
1051,Nerve,"$20,000,000","$70,652,284",LGF,46700000.0,2016,0.6,10.0,1,83.0,"Comedy,Drama"
1063,Risen,"$20,000,000","$46,255,763",Sony,9200000.0,2016,10.089,5.8,433,121.0,"Biography,Drama"
1065,Vampires Suck,"$20,000,000","$81,424,988",Fox,43900000.0,2010,8.992,4.1,658,82.0,Comedy
1066,The American,"$20,000,000","$67,950,723",Focus,32299999.0,2010,9.042,5.8,690,105.0,"Crime,Drama,Thriller"
1067,Texas Chainsaw 3D,"$20,000,000","$47,666,013",LGF,12900000.0,2013,18.256,5.3,780,92.0,"Horror,Thriller"
1068,She's Out of My League,"$20,000,000","$48,680,977",Par.,17800000.0,2010,7.775,6.1,970,104.0,"Comedy,Romance"
1069,The Debt,"$20,000,000","$46,604,054",Focus,14500000.0,2011,12.697,6.6,403,113.0,"Drama,Thriller"
1070,The World's End,"$20,000,000","$47,508,505",Focus,20100000.0,2013,12.719,6.7,2990,109.0,"Action,Comedy,Sci-Fi"
1071,You Again,"$20,000,000","$32,838,945",BV,6300000.0,2010,10.208,6.2,734,105.0,"Comedy,Family,Romance"
1072,On the Basis of Sex,"$20,000,000","$38,073,377",Focus,13600000.0,2018,32.624,7.4,225,120.0,"Biography,Drama"
1073,Monte Carlo,"$20,000,000","$39,686,769",Fox,16500000.0,2011,11.017,6.2,1193,109.0,"Adventure,Comedy,Family"
1074,Rough Night,"$20,000,000","$46,844,357",Sony,25200000.0,2017,14.338,5.6,1096,101.0,"Comedy,Crime,Thriller"
1075,Lockout,"$20,000,000","$33,943,049",FD,17900000.0,2012,11.273,5.9,1004,95.0,"Action,Sci-Fi,Thriller"
1076,What's Your Number?,"$20,000,000","$30,163,785",Fox,16399999.0,2011,10.391,6.4,1271,106.0,"Comedy,Romance"
1077,Burnt,"$20,000,000","$36,773,510",Wein.,23000000.0,2015,12.761,6.4,1841,101.0,"Comedy,Drama"
1081,Triple 9,"$20,000,000","$25,943,792",ORF,10500000.0,2016,13.334,5.8,1258,115.0,"Crime,Thriller"
1082,The Light Between Oceans,"$20,000,000","$22,281,732",BV,13400000.0,2016,29.887,7.1,831,133.0,"Drama,Romance"
1083,Let Me In,"$20,000,000","$28,270,399",Over.,12000000.0,2010,9.716,6.7,1061,116.0,"Drama,Fantasy,Horror"
1087,Battle of the Year,"$20,000,000","$16,723,377",SGem,7700000.0,2013,5.858,6.1,130,110.0,"Drama,Music"
1088,Inherent Vice,"$20,000,000","$14,772,346",WB,6600000.0,2014,14.244,6.6,1359,148.0,"Comedy,Crime,Drama"
1090,Machete Kills,"$20,000,000","$18,273,009",ORF,7000000.0,2013,10.36,5.5,1079,107.0,"Action,Crime,Sci-Fi"
1091,Little Boy,"$20,000,000","$17,769,299",ORF,74954901.2673389,2015,5.805,7.0,292,106.0,"Drama,History,War"
1092,Chasing Mavericks,"$20,000,000","$8,300,821",Fox,600.0,2012,6.546,7.0,329,116.0,"Biography,Drama,Sport"
1093,A Most Violent Year,"$20,000,000","$8,846,875",A24,6300000.0,2014,12.271,6.6,792,125.0,"Crime,Drama,Thriller"
1095,A Dangerous Method,"$20,000,000","$14,807,531",SPC,21800000.0,2011,10.352,6.3,1066,99.0,"Biography,Drama,Romance"
1096,Hands of Stone,"$20,000,000","$5,031,975",Wein.,74954901.2673389,2016,8.17,6.1,167,111.0,"Action,Biography,Drama"
1097,The Cold Light of Day,"$20,000,000","$25,361,206",LG/S,13100000.0,2012,8.974,5.1,463,93.0,"Action,Thriller"
1098,Suspiria,"$20,000,000","$7,034,615",Amazon,5400000.0,2018,16.925,7.0,752,152.0,"Fantasy,Horror,Mystery"
1099,Dylan Dog: Dead of Night,"$20,000,000","$6,093,725",OMNI/FSR,3400000.0,2011,7.508,4.4,243,107.0,"Action,Comedy,Crime"
1100,All Good Things,"$20,000,000","$873,617",Magn.,62500.0,2010,7.871,6.0,493,101.0,"Crime,Drama,Mystery"
1101,By the Sea,"$20,000,000","$3,727,746",Uni.,2800000.0,2015,6.471,5.4,306,122.0,"Drama,Romance"
1102,The Tempest,"$20,000,000","$277,943",Mira.,68700.0,2010,6.3,5.8,52,110.0,"Comedy,Drama,Fantasy"
1106,Regression,"$20,000,000","$15,824,374",W/Dim.,17600000.0,2016,10.713,5.5,1065,106.0,"Crime,Horror,Mystery"
1107,The Shape of Water,"$19,500,000","$195,790,794",FoxS,131400000.0,2017,22.025,7.2,7224,123.0,"Adventure,Drama,Fantasy"
1109,The Devil's Double,"$19,100,000","$5,965,646",LGF,74954901.2673389,2011,7.505,6.7,291,109.0,"Biography,Drama,Thriller"
1110,Bad Teacher,"$19,000,000","$215,448,997",Sony,115900000.0,2011,13.549,5.5,2894,92.0,"Comedy,Romance"
1111,Sausage Party,"$19,000,000","$141,344,255",Sony,43000000.0,2016,15.232,5.6,4237,89.0,"Adventure,Animation,Comedy"
1112,The Crazies,"$19,000,000","$56,445,534",Over.,15700000.0,2010,12.246,6.2,1036,101.0,"Horror,Thriller"
1113,The Switch,"$19,000,000","$49,858,465",Mira.,22100000.0,2010,7.745,6.1,1008,101.0,"Comedy,Drama,Romance"
1114,Leap Year,"$19,000,000","$32,618,920",Uni.,6700000.0,2010,11.821,6.7,990,100.0,"Comedy,Romance"
1115,The Book Thief,"$19,000,000","$76,086,711",Fox,55100000.0,2013,9.034,7.5,2788,131.0,"Drama,War"
1116,Take Me Home Tonight,"$19,000,000","$7,576,604",Rela.,74954901.2673389,2011,11.321,6.1,339,97.0,"Comedy,Drama,Romance"
1117,Won't Back Down,"$19,000,000","$5,745,503",Fox,74954901.2673389,2012,6.14,6.3,64,121.0,Drama
1121,Neighbors,"$18,000,000","$270,944,428",Uni.,120500000.0,2014,14.979,6.2,4536,97.0,Comedy
1126,My Big Fat Greek Wedding 2,"$18,000,000","$92,096,558",Uni.,29200000.0,2016,6.714,5.8,593,94.0,"Comedy,Romance"
1127,The Perfect Guy,"$18,000,000","$60,278,166",SGem,3200000.0,2015,6.727,5.7,211,100.0,"Crime,Drama,Horror"
1128,Diary of a Wimpy Kid: Rodrick Rules,"$18,000,000","$73,695,194",Fox,19700000.0,2011,8.961,6.4,492,99.0,"Comedy,Family"
1129,Soul Surfer,"$18,000,000","$47,158,652",TriS,3200000.0,2011,8.459,7.0,688,112.0,"Biography,Drama,Family"
1130,Uncle Drew,"$18,000,000","$46,527,161",LG/S,4200000.0,2018,10.836,6.5,220,103.0,"Comedy,Sport"
1131,Blue Jasmine,"$18,000,000","$102,912,961",SPC,64099999.0,2013,10.443,7.0,1983,98.0,Drama
1132,Ricki and the Flash,"$18,000,000","$41,166,033",TriS,14500000.0,2015,8.247,5.8,473,101.0,"Comedy,Drama,Music"
1133,Love the Coopers,"$18,000,000","$42,227,490",LGF,16100000.0,2015,8.261,5.8,384,107.0,"Comedy,Fantasy,Romance"
1134,127 Hours,"$18,000,000","$60,217,171",FoxS,42400000.0,2010,11.435,7.0,4469,94.0,"Adventure,Biography,Drama"
1135,Norm of the North,"$18,000,000","$30,535,660",LGF,74954901.2673389,2016,9.325,4.2,192,90.0,"Adventure,Animation,Comedy"
1136,Jobs,"$18,000,000","$43,402,515",ORF,19800000.0,2013,8.023,6.1,1622,128.0,"Biography,Drama"
1137,And So It Goes,"$18,000,000","$17,920,013",CE,10200000.0,2014,8.235,5.9,264,94.0,"Comedy,Drama,Romance"
1138,Labor Day,"$18,000,000","$14,189,810",Par.,6900000.0,2014,9.258,6.9,546,111.0,"Drama,Romance"
1139,The Railway Man,"$18,000,000","$23,910,210",Wein.,17900000.0,2014,9.582,6.9,408,116.0,"Biography,Drama,Romance"
1140,Midnight Special,"$18,000,000","$7,680,250",WB,2500000.0,2016,8.653,6.3,1105,112.0,"Action,Drama,Mystery"
1141,Miss Sloane,"$18,000,000","$7,719,630",EC,5600000.0,2016,12.215,7.4,912,132.0,"Drama,Thriller"
1143,Wolves,"$18,000,000","$94,953",KE,74954901.2673389,2014,8.627,5.8,151,91.0,"Action,Fantasy,Horror"
1149,Black Nativity,"$17,500,000","$7,285,135",FoxS,436000.0,2013,1.779,5.7,25,93.0,"Drama,Family,Music"
1150,City of Ghosts,"$17,500,000","$325,491",IFC,100000.0,2017,4.341,7.1,24,92.0,"Documentary,War"
1151,A Quiet Place,"$17,000,000","$334,522,294",Par.,152900000.0,2018,29.154,7.3,5848,80.0,Documentary
1153,The Best Man Holiday,"$17,000,000","$72,835,710",Uni.,2300000.0,2013,8.581,6.6,145,123.0,"Comedy,Drama"
1154,Pitch Perfect,"$17,000,000","$116,044,347",Uni.,50300000.0,2012,13.886,7.3,4233,112.0,"Comedy,Music,Romance"
1155,Saw 3D,"$17,000,000","$133,735,284",LGF,90400000.0,2010,20.37,6.0,1488,90.0,"Crime,Horror,Mystery"
1156,"McFarland, USA","$17,000,000","$45,707,924",BV,1200000.0,2015,8.197,7.3,358,129.0,"Biography,Drama,Sport"
1157,Almost Christmas,"$17,000,000","$42,493,506",Uni.,422000.0,2016,6.532,5.6,245,111.0,"Comedy,Drama"
1158,Beastly,"$17,000,000","$38,028,230",CBS,15300000.0,2011,10.136,6.1,1748,86.0,"Drama,Fantasy,Romance"
1159,The Apparition,"$17,000,000","$10,637,281",WB,4700000.0,2012,7.714,4.3,221,83.0,"Horror,Thriller"
1160,Genius,"$17,000,000","$7,265,283",RAtt.,4300000.0,2016,9.417,6.5,391,104.0,"Biography,Drama"
1164,Escobar: Paradise Lost,"$17,000,000","$3,917,679",RTWC,3600000.0,2015,15.924,6.3,476,120.0,"Crime,Drama,History"
1165,The Young Messiah,"$16,800,000","$7,313,697",Focus,74954901.2673389,2016,5.531,6.1,50,111.0,"Drama,Fantasy"
1166,Moonrise Kingdom,"$16,000,000","$68,848,446",Focus,22800000.0,2012,14.086,7.7,3023,94.0,"Adventure,Comedy,Drama"
1167,The Artist,"$16,000,000","$128,256,712",Wein.,88800000.0,2011,10.155,7.4,1787,100.0,"Comedy,Drama,Romance"
1170,The Roommate,"$16,000,000","$52,545,707",SGem,3200000.0,2011,8.134,5.4,406,91.0,"Drama,Thriller"
1171,Remember Me,"$16,000,000","$56,506,120",Sum.,37000000.0,2010,11.453,7.1,2079,113.0,"Drama,Romance"
1175,People Like Us,"$16,000,000","$12,617,472",BV,74954901.2673389,2012,9.078,6.8,360,114.0,"Comedy,Drama"
1177,Bleed for This,"$16,000,000","$6,603,926",ORF,74954901.2673389,2016,8.258,6.9,405,117.0,"Biography,Drama,Sport"
1179,The Homesman,"$16,000,000","$8,217,571",Saban,74954901.2673389,2014,8.232,6.5,389,122.0,"Drama,Western"
1180,Trance,"$16,000,000","$22,594,052",FoxS,21900000.0,2013,9.571,6.6,1348,83.0,Horror
1183,The Immigrant,"$16,000,000","$7,585,011",Wein.,3800000.0,2014,8.145,6.2,438,120.0,"Drama,Romance"
1186,Second Act,"$15,700,000","$63,288,854",STX,33000000.0,2018,16.322,6.2,361,103.0,"Comedy,Drama,Romance"
1187,Annabelle: Creation,"$15,000,000","$305,384,865",WB (NL),204400000.0,2017,21.245,6.5,3141,109.0,"Horror,Mystery,Thriller"
1188,The Imitation Game,"$15,000,000","$227,740,463",Wein.,142400000.0,2014,33.078,8.1,10396,114.0,"Biography,Drama,Thriller"
1189,Mama,"$15,000,000","$148,095,566",Uni.,74800000.0,2013,11.983,6.1,2421,50.0,Drama
1196,Diary of a Wimpy Kid,"$15,000,000","$76,954,311",Fox,11700000.0,2010,12.256,6.0,736,94.0,"Comedy,Drama,Family"
1197,The Woman in Black,"$15,000,000","$128,955,898",CBS,73400000.0,2012,12.781,6.1,2122,95.0,"Drama,Fantasy,Horror"
1198,BlacKkKlansman,"$15,000,000","$93,017,335",Focus,44000000.0,2018,25.101,7.6,3138,135.0,"Biography,Crime,Drama"
1199,Snitch,"$15,000,000","$57,907,734",LG/S,74954901.2673389,2013,0.6,1.0,1,112.0,"Action,Drama,Thriller"
1201,Krampus,"$15,000,000","$61,788,393",Uni.,18800000.0,2015,9.417,6.0,1046,98.0,"Comedy,Fantasy,Horror"
1202,End of Watch,"$15,000,000","$57,586,606",ORF,7100000.0,2012,13.152,7.3,1770,109.0,"Action,Crime,Drama"
1203,The Theory of Everything,"$15,000,000","$123,327,692",Focus,87800000.0,2014,13.866,7.9,6412,123.0,"Biography,Drama,Romance"
1204,The Favourite,"$15,000,000","$94,113,929",FoxS,61600000.0,2018,28.651,7.7,2096,119.0,"Biography,Drama,History"
1205,When the Game Stands Tall,"$15,000,000","$30,138,912",TriS,74954901.2673389,2014,6.08,6.6,185,115.0,"Drama,Family,Sport"
1206,Home Again,"$15,000,000","$37,336,874",ORF,74954901.2673389,2017,10.478,5.9,659,104.0,Drama
1208,Ramona and Beezus,"$15,000,000","$27,469,621",Fox,1100000.0,2010,7.442,6.3,460,103.0,"Adventure,Comedy,Family"
1209,The November Man,"$15,000,000","$34,820,335",Rela.,7500000.0,2014,17.747,6.1,852,108.0,"Action,Crime,Thriller"
1210,The Place Beyond the Pines,"$15,000,000","$47,011,449",Focus,14100000.0,2013,12.96,6.9,2781,140.0,"Crime,Drama,Thriller"
1211,Keanu,"$15,000,000","$20,688,141",WB (NL),74954901.2673389,2016,8.952,6.0,644,100.0,"Action,Comedy,Crime"
1212,Country Strong,"$15,000,000","$20,601,987",SGem,310000.0,2010,7.567,6.3,126,117.0,"Drama,Music"
1213,A Most Wanted Man,"$15,000,000","$36,068,890",RAtt.,19000000.0,2014,10.267,6.5,784,122.0,"Crime,Drama,Thriller"
1214,The Man with the Iron Fists,"$15,000,000","$22,018,988",Uni.,4099999.0,2012,15.457,5.3,573,95.0,Action
