,movie,production_budget,worldwide_gross,studio,foreign_gross,year,popularity,vote_average,vote_count,runtime_minutes,genres
306,The Expendables,"$82,000,000","$268,268,174",LGF,171400000.0,2010,21.517,6.1,4647,103.0,"Action,Adventure,Thriller"
307,The Hunger Games,"$80,000,000","$677,923,379",LGF,286400000.0,2012,14.212,7.1,14587,142.0,"Action,Adventure,Sci-Fi"
308,The Hangover Part II,"$80,000,000","$586,464,305",WB,332300000.0,2011,32.266,6.4,6231,102.0,"Comedy,Mystery"
309,Hotel Transylvania 2,"$80,000,000","$469,500,298",Sony,305100000.0,2015,16.553,6.7,3184,89.0,"Animation,Comedy,Family"
310,Grown Ups 2,"$80,000,000","$247,023,808",Sony,113300000.0,2013,11.289,5.9,2090,101.0,Comedy
311,Alvin and the Chipmunks: Chipwrecked,"$80,000,000","$349,088,523",Fox,209600000.0,2011,12.672,5.5,1055,87.0,"Adventure,Animation,Comedy"
312,Shutter Island,"$80,000,000","$299,461,782",Par.,166800000.0,2010,18.06,8.1,12625,138.0,"Mystery,Thriller"
313,Yogi Bear,"$80,000,000","$204,774,690",WB,101300000.0,2010,9.096,5.3,387,80.0,"Adventure,Animation,Comedy"
314,The Book of Eli,"$80,000,000","$158,750,817",WB,62300000.0,2010,18.985,6.7,3495,118.0,"Action,Adventure,Drama"
315,Smallfoot,"$80,000,000","$213,691,277",WB,130900000.0,2018,26.231,6.6,600,96.0,"Adventure,Animation,Comedy"
316,Zookeeper,"$80,000,000","$170,805,525",Sony,89500000.0,2011,10.764,5.3,886,102.0,"Comedy,Family,Romance"
317,The Last Witch Hunter,"$80,000,000","$130,818,912",LG/S,119600000.0,2015,16.685,5.8,2193,106.0,"Action,Adventure,Fantasy"
319,Pompeii,"$80,000,000","$108,469,033",TriS,94600000.0,2014,25.215,5.4,2078,105.0,"Action,Adventure,Drama"
320,Journey 2: The Mysterious Island,"$79,000,000","$318,146,162",WB (NL),231400000.0,2012,14.454,5.9,2152,94.0,"Action,Adventure,Comedy"
321,Jack and Jill,"$79,000,000","$150,519,217",Sony,75500000.0,2011,11.277,4.1,1124,91.0,Comedy
322,Cloudy with a Chance of Meatballs 2,"$78,000,000","$274,392,649",Sony,154500000.0,2013,18.335,6.4,1679,95.0,"Adventure,Animation,Comedy"
323,The Little Prince,"$77,500,000","$102,028,919",EOne,96200000.0,2016,8.512,7.6,1493,93.0,Action
325,The Equalizer 2,"$77,000,000","$190,453,132",Sony,88300000.0,2018,22.961,6.4,2089,121.0,"Action,Crime,Thriller"
326,Despicable Me 2,"$76,000,000","$975,216,835",Uni.,602700000.0,2013,19.014,6.9,7319,98.0,"Adventure,Animation,Comedy"
327,The Secret Life of Pets,"$75,000,000","$886,750,534",Uni.,507100000.0,2016,9.909,6.1,5374,87.0,"Adventure,Animation,Comedy"
328,Sing,"$75,000,000","$634,454,789",Uni.,363800000.0,2016,17.572,6.9,4303,108.0,"Animation,Comedy,Family"
330,Despicable Me 3,"$75,000,000","$1,034,727,750",Uni.,770200000.0,2017,16.407,6.3,4106,89.0,"Adventure,Animation,Comedy"
331,Grown Ups,"$75,000,000","$272,223,430",Sony,109400000.0,2010,14.291,6.1,3171,102.0,Comedy
332,Now You See Me,"$75,000,000","$342,769,200",LG/S,234000000.0,2013,16.646,7.4,9871,115.0,"Crime,Mystery,Thriller"
334,Immortals,"$75,000,000","$211,562,435",Rela.,143400000.0,2011,14.774,5.8,1431,110.0,"Action,Drama,Fantasy"
335,Killers,"$75,000,000","$95,572,749",LGF,51100000.0,2010,10.221,5.8,1314,100.0,"Action,Comedy,Romance"
337,Sucker Punch,"$75,000,000","$89,758,389",WB,53400000.0,2011,14.416,6.0,2716,110.0,"Action,Adventure,Fantasy"
338,Inferno,"$75,000,000","$219,519,367",Sony,185700000.0,2016,17.41,5.9,3877,16.0,Documentary
346,Minions,"$74,000,000","$1,160,336,173",Uni.,823400000.0,2015,9.338,6.4,7343,91.0,"Adventure,Animation,Comedy"
347,The SpongeBob Movie: Sponge Out of Water,"$74,000,000","$311,013,181",Par.,162200000.0,2015,13.815,5.7,1165,92.0,"Adventure,Animation,Comedy"
348,Olympus Has Fallen,"$70,000,000","$172,878,928",FD,71300000.0,2013,13.864,6.2,4086,119.0,"Action,Thriller"
349,War Horse,"$70,000,000","$156,815,529",BV,97700000.0,2011,10.378,7.2,1849,146.0,"Drama,History,War"
350,The Monuments Men,"$70,000,000","$158,702,748",Sony,77000000.0,2014,12.861,5.9,2229,118.0,"Comedy,Drama,History"
351,Storks,"$70,000,000","$183,353,431",WB,110700000.0,2016,12.101,6.5,1308,87.0,"Adventure,Animation,Comedy"
352,Dracula Untold,"$70,000,000","$220,241,723",Uni.,160800000.0,2014,29.043,6.2,3719,92.0,"Action,Drama,Fantasy"
353,The Dilemma,"$70,000,000","$70,546,865",Uni.,21200000.0,2011,9.518,5.3,448,111.0,"Comedy,Drama"
354,Rock of Ages,"$70,000,000","$61,031,932",WB (NL),20900000.0,2012,11.369,6.1,686,123.0,"Comedy,Drama,Musical"
